feature,tp0_mean,fn0_mean,signed_diff,abs_diff
lead_utm_id_3,1.8488795721704692e+16,5012963864.022,1.8488790708740828e+16,1.8488790708740828e+16
lead_utm_id_1,428812936.44547325,48896079.914,379916856.5314733,379916856.5314733
lead_length,19.781893004115226,22.032,-2.2501069958847744,2.2501069958847744
lead_creation_date_quarter,0.8914609053497943,-0.33,1.2214609053497942,1.2214609053497942
lead_utm_campaign_missing,0.1712962962962963,0.684,-0.5127037037037038,0.5127037037037038
delivery_cost_missing,0.7623456790123457,0.97,-0.20765432098765424,0.20765432098765424
has_weight,0.5334362139917695,0.632,-0.09856378600823046,0.09856378600823046
lead_group_missing,0.602880658436214,0.636,-0.03311934156378604,0.03311934156378604
